<<<<<<< HEAD
"","timepoint","region","t_statistic","t_p_value","mean_diff","shapiro_w_statistic_left","shapiro_w_p_value_left","shapiro_w_statistic_right","shapiro_w_p_value_right","t_degrees_freedom"
"t14",5,"gbca_pelvis",-0.0581259089179335,0.956436226345738,-0.960399999999993,0.890987379643698,0.362092524381738,0.924199853265182,0.557387072836097,4
"t15",1,"aguix_cortex",2.39877157916537,0.074455470004945,10.9108,0.880338194744077,0.310846342614431,0.952547754971917,0.755371872481406,4
"t16",2,"aguix_cortex",1.00346843183283,0.36169622057385,4.21783333333333,0.780168846137562,0.0386857810964802,0.782915066712239,0.0410282570319849,5
"t17",3,"aguix_cortex",-0.499970411668785,0.638318276929207,-1.95983333333334,0.866934999811563,0.214258618909739,0.978512294009811,0.943928134833565,5
"t18",4,"aguix_cortex",1.04314356848674,0.344668761454038,7.66383333333333,0.97583599805561,0.929087145008939,0.907055618276713,0.417310811762019,5
"t19",5,"aguix_cortex",0.747335127302375,0.488495232368251,6.62416666666665,0.948582538900709,0.728788809440125,0.89000452791601,0.31821152571377,5
"t20",1,"aguix_medulla",0.837296144190663,0.449536470992145,5.27600000000001,0.984436129585405,0.956859755659964,0.685423477977017,0.00669944335755355,4
"t21",2,"aguix_medulla",0.180953378698407,0.863510450356699,3.8575,0.971573068395306,0.902830138925929,0.95244053819037,0.759993062141623,5
"t22",3,"aguix_medulla",0.268746779786222,0.798860920051819,3.06533333333334,0.852970473729006,0.166322016265768,0.902100811560045,0.386496610814261,5
"t23",4,"aguix_medulla",1.2161603281483,0.27820070101916,18.8493333333333,0.957829350880799,0.802864970100778,0.873185231167237,0.239199388998093,5
"t24",5,"aguix_medulla",1.84319685381241,0.124634172127608,20.545,0.990225678874806,0.989717491981477,0.878876869250567,0.263939003165881,5
"t25",1,"aguix_pelvis",-1.17574752974071,0.304897585594208,-4.40780000000001,0.93428685123249,0.625880485864929,0.900313873274927,0.411622740297202,4
"t26",2,"aguix_pelvis",0.408024374988236,0.700140623993745,3.76933333333332,0.891738518760234,0.327397319429476,0.908841763928754,0.428820449660215,5
"t27",3,"aguix_pelvis",-0.331059774337917,0.754023265871184,-4.04650000000001,0.943952565517081,0.69117988468142,0.91143336147329,0.445893179338803,5
"t28",4,"aguix_pelvis",1.36350100526747,0.230906322634414,19.4653333333333,0.862499245461367,0.197906673051646,0.958697466828161,0.809647701402515,5
"t29",5,"aguix_pelvis",1.56746551523481,0.177790382405754,27.6058333333333,0.941142914503457,0.668421160388359,0.924314745514371,0.536965806972839,5
=======
"","timepoint","region","t_statistic","t_p_value","mean_diff","shapiro_w_statistic_left","shapiro_w_p_value_left","shapiro_w_statistic_right","shapiro_w_p_value_right","t_degrees_freedom"
"t",1,"gbca_cortex",-0.521837904187899,0.624066917765953,-8.20566666666667,0.931590173551093,0.592436903685935,0.877280955277926,0.256801679533039,5
"t1",2,"gbca_cortex",-1.07386838936063,0.331950605292147,-23.0453333333333,0.820783301159268,0.089639795757945,0.930346735769054,0.582782213834507,5
"t2",3,"gbca_cortex",-0.67350061858202,0.530500633848359,-2.21233333333333,0.970370123924677,0.894911464347202,0.890889866061803,0.322876609659956,5
"t3",4,"gbca_cortex",0.540825836935914,0.611841188421374,1.95633333333333,0.985722447736665,0.976214983603117,0.915934024917076,0.476569132969318,5
"t4",5,"gbca_cortex",0.0381518442729327,0.971394790422097,0.11460000000001,0.930010641462593,0.596443085105863,0.981498691476705,0.942475834851891,4
"t5",1,"gbca_medulla",-0.0968154102336026,0.926633928961257,-0.576499999999996,0.923527100523529,0.53111945777409,0.910034543336754,0.436623643031476,5
"t6",2,"gbca_medulla",-0.594313065691603,0.578171726245236,-14.0768333333333,0.883736627854429,0.28665920627936,0.96409372680666,0.850666788271947,5
"t7",3,"gbca_medulla",-0.616035276662136,0.56483146582833,-3.90366666666668,0.977983352365871,0.941105518776403,0.963221809206669,0.844194136471787,5
"t8",4,"gbca_medulla",-0.0381859511864431,0.971017166813223,-0.0606666666666626,0.936574823879655,0.631740737912349,0.850794246853711,0.159748417051018,5
"t9",5,"gbca_medulla",-1.25063737061151,0.279230100584774,-5.3364,0.934157488899293,0.624982371100886,0.930976922661127,0.603047554530881,4
"t10",1,"gbca_pelvis",2.14338497609553,0.084952756401935,7.24333333333333,0.974853384650178,0.92330389819988,0.984600914975391,0.972010370383075,5
"t11",2,"gbca_pelvis",-0.979137273356815,0.372479538552184,-23.8318333333333,0.850218600359006,0.158047563271968,0.845990658808164,0.14602881224691,5
"t12",3,"gbca_pelvis",1.06460287705945,0.335743286410438,19.293,0.924910249042062,0.541407953113737,0.852546305375574,0.165022781694221,5
"t13",4,"gbca_pelvis",0.0241330581301661,0.98167999325697,0.343166666666662,0.950449553660655,0.743921449804831,0.882229400555489,0.279452118058862,5
"t14",5,"gbca_pelvis",-0.0581259089179335,0.956436226345738,-0.960399999999993,0.890987379643698,0.362092524381738,0.924199853265182,0.557387072836097,4
"t15",1,"aguix_cortex",2.39877157916537,0.074455470004945,10.9108,0.880338194744077,0.310846342614431,0.952547754971917,0.755371872481406,4
"t16",2,"aguix_cortex",1.00346843183283,0.36169622057385,4.21783333333333,0.780168846137562,0.0386857810964802,0.782915066712239,0.0410282570319849,5
"t17",3,"aguix_cortex",-0.499970411668785,0.638318276929207,-1.95983333333334,0.866934999811563,0.214258618909739,0.978512294009811,0.943928134833565,5
"t18",4,"aguix_cortex",1.04314356848674,0.344668761454038,7.66383333333333,0.97583599805561,0.929087145008939,0.907055618276713,0.417310811762019,5
"t19",5,"aguix_cortex",0.747335127302375,0.488495232368251,6.62416666666665,0.948582538900709,0.728788809440125,0.89000452791601,0.31821152571377,5
"t20",1,"aguix_medulla",0.837296144190663,0.449536470992145,5.27600000000001,0.984436129585405,0.956859755659964,0.685423477977017,0.00669944335755355,4
"t21",2,"aguix_medulla",0.180953378698407,0.863510450356699,3.8575,0.971573068395306,0.902830138925929,0.95244053819037,0.759993062141623,5
"t22",3,"aguix_medulla",0.268746779786222,0.798860920051819,3.06533333333334,0.852970473729006,0.166322016265768,0.902100811560045,0.386496610814261,5
"t23",4,"aguix_medulla",1.2161603281483,0.27820070101916,18.8493333333333,0.957829350880799,0.802864970100778,0.873185231167237,0.239199388998093,5
"t24",5,"aguix_medulla",1.84319685381241,0.124634172127608,20.545,0.990225678874806,0.989717491981477,0.878876869250567,0.263939003165881,5
"t25",1,"aguix_pelvis",-1.17574752974071,0.304897585594208,-4.40780000000001,0.93428685123249,0.625880485864929,0.900313873274927,0.411622740297202,4
"t26",2,"aguix_pelvis",0.408024374988236,0.700140623993745,3.76933333333332,0.891738518760234,0.327397319429476,0.908841763928754,0.428820449660215,5
"t27",3,"aguix_pelvis",-0.331059774337917,0.754023265871184,-4.04650000000001,0.943952565517081,0.69117988468142,0.91143336147329,0.445893179338803,5
"t28",4,"aguix_pelvis",1.36350100526747,0.230906322634414,19.4653333333333,0.862499245461367,0.197906673051646,0.958697466828161,0.809647701402515,5
"t29",5,"aguix_pelvis",1.56746551523481,0.177790382405754,27.6058333333333,0.941142914503457,0.668421160388359,0.924314745514371,0.536965806972839,5
>>>>>>> 77a3982bf0902d3f28a8584daad61788e60cc341
