<<<<<<< HEAD
"timepoint","region","t_statistic","t_p_value","mean_diff","shapiro_w_statistic_aguix","shapiro_w_p_value_aguix","shapiro_w_statistic_dotarem","shapiro_w_p_value_dotarem","t_degrees_freedom"
4,"left medulla",10.3287094446823,0.000146358107191124,83.438,0.957829350880799,0.802864970100778,0.936574823879655,0.631740737912349,5
5,"left medulla",5.50248000359276,0.00531946718928079,87.9312,0.973693544996963,0.898386847730499,0.934157488899293,0.624982371100886,4
1,"left pelvis",3.1549587209485,0.0343499347750293,9.10799999999999,0.93428685123249,0.625880485864929,0.958518998852802,0.797634381574986,4
2,"left pelvis",0.754828351512331,0.484367114979653,21.5685,0.891738518760234,0.327397319429476,0.850218600359006,0.158047563271968,5
3,"left pelvis",-0.534570488225719,0.615853317036865,-15.9291666666667,0.943952565517081,0.69117988468142,0.924910249042062,0.541407953113737,5
4,"left pelvis",3.51391352236508,0.0170293539003975,105.511833333333,0.862499245461367,0.197906673051646,0.950449553660655,0.743921449804831,5
5,"left pelvis",3.16769278215358,0.0339327492745856,225.0228,0.960694942391983,0.812814214344954,0.890987379643698,0.362092524381738,4
1,"right cortex",1.46448599057557,0.216916136915351,25.9208,0.952547754971917,0.755371872481406,0.919885926082752,0.529204052863259,4
2,"right cortex",0.242348855866142,0.818136769282946,3.21583333333334,0.782915066712239,0.0410282570319849,0.930346735769054,0.582782213834507,5
3,"right cortex",2.41327817813303,0.0606182019353524,13.7626666666667,0.978512294009811,0.943928134833565,0.890889866061803,0.322876609659956,5
4,"right cortex",3.7181604350628,0.0137382509227745,35.7608333333333,0.907055618276713,0.417310811762019,0.915934024917076,0.476569132969318,5
5,"right cortex",3.07161726636175,0.0372342454271354,37.5034,0.898902619411746,0.403850050711348,0.981498691476705,0.942475834851891,4
1,"right medulla",1.32272078247501,0.256481851952267,9.32839999999999,0.685423477977017,0.00669944335755355,0.949228854100596,0.731677967224139,4
2,"right medulla",0.840693200994342,0.438861504985017,9.53633333333333,0.95244053819037,0.759993062141623,0.96409372680666,0.850666788271947,5
3,"right medulla",1.34944921640068,0.235073443312056,11.9553333333333,0.902100811560045,0.386496610814261,0.963221809206669,0.844194136471787,5
4,"right medulla",4.53598096059913,0.00619144793671466,64.528,0.873185231167237,0.239199388998093,0.850794246853711,0.159748417051018,5
5,"right medulla",2.63926666737316,0.0576245545475932,58.2602,0.935716833831684,0.635836990114741,0.930976922661127,0.603047554530881,4
1,"right pelvis",2.87077838874755,0.0454329624249899,21.4432,0.900313873274927,0.411622740297202,0.985984854523496,0.963841448002398,4
2,"right pelvis",-0.507280131911016,0.633534252289599,-6.03266666666666,0.908841763928754,0.428820449660215,0.845990658808164,0.14602881224691,5
3,"right pelvis",0.2266604794342,0.829662952272358,7.41033333333334,0.91143336147329,0.445893179338803,0.852546305375574,0.165022781694221,5
4,"right pelvis",2.25949388705535,0.0733982329606846,86.3896666666666,0.958697466828161,0.809647701402515,0.882229400555489,0.279452118058862,5
5,"right pelvis",2.67943587387705,0.0552609738162847,189.5062,0.968821567431751,0.86763763893034,0.924199853265182,0.557387072836097,4
=======
"timepoint","region","t_statistic","t_p_value","mean_diff","shapiro_w_statistic_aguix","shapiro_w_p_value_aguix","shapiro_w_statistic_dotarem","shapiro_w_p_value_dotarem","t_degrees_freedom"
1,"aorta",-0.0166600830923993,0.987505660150794,-0.663366479999979,0.902970722116015,0.426522000131221,0.924306927347622,0.558095804169865,4
2,"aorta",4.35836756623213,0.00730146319196761,22.1647831283333,0.955425215439763,0.783881075156374,0.897455357542807,0.359107391925997,5
3,"aorta",2.78435317790342,0.038702319320577,16.0184689,0.905880531197166,0.409854232075975,0.931911835112998,0.594945001263303,5
4,"aorta",3.33236646102996,0.0207251230838667,14.050874375,0.961548808001143,0.831594472841046,0.911659636139776,0.447404566483522,5
5,"aorta",2.52707126666904,0.064866487437187,9.60295714800001,0.951756841366286,0.749732333224907,0.930839046778531,0.602103407424341,4
1,"vena cava",1.24761716961942,0.280224356017585,17.7162,0.849056188127235,0.191553645616174,0.952349862172817,0.753961380800989,4
2,"vena cava",3.95980053729404,0.0107449841903469,24.8448333333333,0.971698303964708,0.903642561810976,0.94489654061304,0.698844766805424,5
3,"vena cava",3.11609992779242,0.0263682237168336,20.9728333333333,0.971868847809891,0.904745177584443,0.930078102615528,0.580705160154656,5
4,"vena cava",3.02755057068066,0.0291630709658633,19.3651666666667,0.839150198944359,0.128266609317384,0.820711724124163,0.0895122344046667,5
5,"vena cava",3.40065773027582,0.0272608026846461,15.6496,0.918789051184906,0.522157991211551,0.614106224835293,0.000959991445959772,4
1,"left cortex",2.23408920453622,0.0892050172752124,50.6174,0.880338194744077,0.310846342614431,0.962356868752881,0.824292948360351,4
2,"left cortex",1.38733501384438,0.223996157187777,30.479,0.780168846137562,0.0386857810964802,0.820783301159268,0.089639795757945,5
3,"left cortex",2.5616699721708,0.0505439471103541,14.0151666666667,0.866934999811563,0.214258618909739,0.970370123924677,0.894911464347202,5
4,"left cortex",4.95845941996349,0.00425380688911978,41.4683333333333,0.97583599805561,0.929087145008939,0.985722447736665,0.976214983603117,5
5,"left cortex",3.72428000832771,0.0203982649079539,44.5944,0.919794397147169,0.528614183785574,0.930010641462593,0.596443085105863,4
1,"left medulla",3.27084123140768,0.0307647790365731,16.7664,0.984436129585405,0.956859755659964,0.868575058237337,0.260701674733162,4
2,"left medulla",1.37065065451256,0.228812698727747,27.4706666666667,0.971573068395306,0.902830138925929,0.883736627854429,0.28665920627936,5
3,"left medulla",4.69106616431447,0.00537995574695193,18.9243333333334,0.852970473729006,0.166322016265768,0.977983352365871,0.941105518776403,5
4,"left medulla",10.3287094446823,0.000146358107191124,83.438,0.957829350880799,0.802864970100778,0.936574823879655,0.631740737912349,5
5,"left medulla",5.50248000359276,0.00531946718928079,87.9312,0.973693544996963,0.898386847730499,0.934157488899293,0.624982371100886,4
1,"left pelvis",3.1549587209485,0.0343499347750293,9.10799999999999,0.93428685123249,0.625880485864929,0.958518998852802,0.797634381574986,4
2,"left pelvis",0.754828351512331,0.484367114979653,21.5685,0.891738518760234,0.327397319429476,0.850218600359006,0.158047563271968,5
3,"left pelvis",-0.534570488225719,0.615853317036865,-15.9291666666667,0.943952565517081,0.69117988468142,0.924910249042062,0.541407953113737,5
4,"left pelvis",3.51391352236508,0.0170293539003975,105.511833333333,0.862499245461367,0.197906673051646,0.950449553660655,0.743921449804831,5
5,"left pelvis",3.16769278215358,0.0339327492745856,225.0228,0.960694942391983,0.812814214344954,0.890987379643698,0.362092524381738,4
1,"right cortex",1.46448599057557,0.216916136915351,25.9208,0.952547754971917,0.755371872481406,0.919885926082752,0.529204052863259,4
2,"right cortex",0.242348855866142,0.818136769282946,3.21583333333334,0.782915066712239,0.0410282570319849,0.930346735769054,0.582782213834507,5
3,"right cortex",2.41327817813303,0.0606182019353524,13.7626666666667,0.978512294009811,0.943928134833565,0.890889866061803,0.322876609659956,5
4,"right cortex",3.7181604350628,0.0137382509227745,35.7608333333333,0.907055618276713,0.417310811762019,0.915934024917076,0.476569132969318,5
5,"right cortex",3.07161726636175,0.0372342454271354,37.5034,0.898902619411746,0.403850050711348,0.981498691476705,0.942475834851891,4
1,"right medulla",1.32272078247501,0.256481851952267,9.32839999999999,0.685423477977017,0.00669944335755355,0.949228854100596,0.731677967224139,4
2,"right medulla",0.840693200994342,0.438861504985017,9.53633333333333,0.95244053819037,0.759993062141623,0.96409372680666,0.850666788271947,5
3,"right medulla",1.34944921640068,0.235073443312056,11.9553333333333,0.902100811560045,0.386496610814261,0.963221809206669,0.844194136471787,5
4,"right medulla",4.53598096059913,0.00619144793671466,64.528,0.873185231167237,0.239199388998093,0.850794246853711,0.159748417051018,5
5,"right medulla",2.63926666737316,0.0576245545475932,58.2602,0.935716833831684,0.635836990114741,0.930976922661127,0.603047554530881,4
1,"right pelvis",2.87077838874755,0.0454329624249899,21.4432,0.900313873274927,0.411622740297202,0.985984854523496,0.963841448002398,4
2,"right pelvis",-0.507280131911016,0.633534252289599,-6.03266666666666,0.908841763928754,0.428820449660215,0.845990658808164,0.14602881224691,5
3,"right pelvis",0.2266604794342,0.829662952272358,7.41033333333334,0.91143336147329,0.445893179338803,0.852546305375574,0.165022781694221,5
4,"right pelvis",2.25949388705535,0.0733982329606846,86.3896666666666,0.958697466828161,0.809647701402515,0.882229400555489,0.279452118058862,5
5,"right pelvis",2.67943587387705,0.0552609738162847,189.5062,0.968821567431751,0.86763763893034,0.924199853265182,0.557387072836097,4
>>>>>>> 77a3982bf0902d3f28a8584daad61788e60cc341
